"product_name","source","id","Reviewer","Rating","Title","Date","Body","Number","image_urls"
"product1","all review","52","Jack","1.0 out of 5 stars","Will not hold a charge, battery will not last longer than 5 minutes","Reviewed in the United States on June 2, 2023","Unusually, these headphones were fully charged from the minute I opened them. I used them for the first time on a 5 hour flight and they worked perfectly-- I could still hear the airplane noise a little, but it cut out the majority of outside sounds.The problems came after my trip, when I tried to put the earbuds to charge for my next flight. I put each earbud into the proper slot, and the case registered that they were charging. Great! But when I put them on the next day, I was disappointed to see that I could only use them for about 5 minutes before they disconnected themselves from my Bluetooth and died.Since that point, I have tried a million different ways to charge these stupid things. I've jiggled them to make sure that the contacts are connecting. I've tried the case both on and off the charger. I've cleaned the contacts (with a dry, clean cloth only!) on both the earbuds and the case. This product is clearly defective-- or perhaps was never intended to work for more than a single use. Save yourself the heartache and get a different brand of earbuds.","1",""
"product1","all review","53","Sarah","1.0 out of 5 stars","Sound quality is TERRIBLE.","Reviewed in the United States on March 9, 2024","The title about sums it up. I bought as a replacement for $15 Earcandy buds. These are twice as expensive and not even half as good sound quality.  I wasn't expecting anything amazing for the price, but should be at least as good as the bargain basement buds I was trying to replace.","1",""
"product1","all review","54","Kcaraz","1.0 out of 5 stars","Will not connect to any phone after 2 months","Reviewed in the United States on March 15, 2024","I bought these for someone else, they gave up on connecting them to their phone but waited until the return window had closed to let me know.  I also can not connect them to my phone, even though the case shows that they are charged.","1",""
"product1","all review","55","fadedrainbow","1.0 out of 5 stars","Disappointed ☹️","Reviewed in the United States on June 26, 2023","I bought these with high hopes as I read many positive reviews on them. However, not only are these ear buds incredibly uncomfortable to wear, they don’t stay in my ears at all. They start slipping out of my ears every thirty seconds or so and I have to keep pushing them back into my ears, which ends up either pausing or skipping whatever song/video I’m listening to/watching and it’s really annoying. (It’s some sort of setting on them I can’t figure out how to turn off.) Also, the right ear bud is already crapping out, and I JUST got these less than a week ago. They’re loud though, I’ll give them that. Besides that however, these really aren’t that great. It’s better to spend more money on better wireless earbuds. I didn’t want to have to spend more money on another pair of Air pods (after my first pair finally stopped working after about two years, that’s why I tried these instead hoping they’d be better for a cheaper price), but that’s exactly what I’m gonna have to do. Oh well. 🤷‍♀️","1",""
"product1","all review","56","Perry Cheeseman","1.0 out of 5 stars","Not worth it","Reviewed in the United States on March 2, 2024","They worked great when it did but buds kept falling out of my ears get over ear buds that go in the ear if u want to do anything but sit still, and they kept coming out when i was eating/chewing","1","71qj97W8BGL._SY88.jpg"
"product1","all review","57","bobbie","1.0 out of 5 stars","These do not work.","Reviewed in the United States on January 16, 2024","I have purchased these twice during approximately the last 3 years.  They always have worked just fine.  Recently  I lost the earbuds and so ordered a new set.  The fist set arrived earlier this month. Would not pair up no matter what I did.  Ordered another pair and received the next day. Right ear does not turn on at all; the left turned on but would not connect to my iPhone.  Two duds in a row. This one being returned too.","1",""
"product1","all review","58","Sally Gurl","1.0 out of 5 stars","Horrible and unreliable","Reviewed in the United States on March 9, 2024","These have been absolutely awful.  When I go more than 5 feet from my computer, they disconnect.  Even when I'm sitting in front of my computer they randomly disconnect or the audio cuts out.  Absolute garbage.","1",""
"product1","all review","59","AJ Dines","1.0 out of 5 stars","Poor quality compared to others at this price","Reviewed in the United States on November 16, 2023","I got these to see if the shape was better compared to in-ears without the bottom part that holds your ear. I can say these definitely stay in place well. I liked everything about them at first, but the audio quality and sound consistency (connecting to both buds at the same time) decreased so fast. Now they don’t always charge (you have to try to place the buds in the right place in the charging case multiple times to get them to charge, sometimes the right earbud is charged but the left is dead and won’t work). Overall not the worst but I have other pairs that lasted for years…I’m not overly hard on them either. Just disappointed.","1",""
"product1","all review","60","max groove","3.0 out of 5 stars","Meh","Reviewed in the United States on March 4, 2024","Acceptable given how cheap these are...Mine lasted 2 years with mild use before the case/battery stopped accepting a charge.  Had some trouble switching between blue tooth devices and had clunky controls for volume skip etc but overall acceptable. I'm looking elsewhere for my next set","3",""
"product1","all review","61","Atalia Candia","3.0 out of 5 stars","Just okay","Reviewed in the United States on January 23, 2024","I got these to replace some other buds I lost because the reviews looked promising. Well, they fall out of my ears a lot and the ""button"" on the bud to pause/play works when it wants to. I tap it several times and nothing happens, yet other times I barely brush against it and it pauses my music or video. The shape of the bud is awkward and I thought they would be a better pair since they were more expensive, but they really aren't. Not noise cancelling at all either, I can hear all the noises around me when I'm at the gym. Disappointed. The color is cute though, and they sound okay.","3","71Akx5QeGUL._SY88.jpg"
